x,y
640,0.01776
639,0.01345
638,0.01286
637,0.01186
636,0.01462
635,0.01773
634,0.01981
633,0.02159
632,0.02283
631,0.02902
630,0.03845
629,0.04723
628,0.06378
627,0.07763
626,0.08594
625,0.08932
624,0.088
623,0.07987
622,0.06692
621,0.05647
620,0.05752
619,0.06674
618,0.09375
617,0.13784
616,0.19692
615,0.2619
614,0.31416
613,0.33618
612,0.30842
611,0.22607
610,0.09801
609,-0.0579
608,-0.20858
607,-0.33157
606,-0.40901
605,-0.43916
604,-0.43583
603,-0.4166
602,-0.40139
601,-0.40083
600,-0.41331
599,-0.42853
598,-0.4258
597,-0.39065
596,-0.32143
595,-0.21938
594,-0.09899
593,0.0368
592,0.15602
591,0.26052
590,0.34385
589,0.40235
588,0.4457
587,0.47755
586,0.50503
585,0.52758
584,0.52277
583,0.49063
582,0.41326
581,0.28865
580,0.12503
579,-0.05644
578,-0.21468
577,-0.33231
576,-0.39517
575,-0.39963
574,-0.35801
573,-0.27372
572,-0.18764
571,-0.10688
570,-0.03553
569,0.01419
568,0.04762
567,0.06076
566,0.05044
565,0.02841
564,-0.02065
563,-0.08298
562,-0.14555
561,-0.20055
560,-0.24363
559,-0.2747
558,-0.27963
557,-0.26542
556,-0.23396
555,-0.20006
554,-0.15956
553,-0.11734
552,-0.07858
551,-0.04464
550,-0.01072
549,0.02371
548,0.06127
547,0.10035
546,0.13197
545,0.1542
544,0.16348
543,0.15078
542,0.12543
541,0.09535
540,0.06437
539,0.04448
538,0.03567
537,0.03878
536,0.05604
535,0.06758
534,0.07314
533,0.0713
532,0.06388
531,0.05837
530,0.05037
529,0.04941
528,0.04023
527,0.03823
526,0.04194
525,0.03969
524,0.03754
523,0.03081
522,0.02388
521,0.02173
520,0.0176
519,0.01972
518,0.02267
517,0.02381
516,0.02551
515,0.02903
